CAPTAIN,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5,SALARY,POINTS
Irv Smith Jr.,Chris Carson,Dalvin Cook,Kirk Cousins,Russell Wilson,Tyler Lockett,49500,103.73
Tyler Lockett,Dalvin Cook,Dan Bailey,Irv Smith Jr.,Kirk Cousins,Russell Wilson,49900,102.93
Russell Wilson,Chris Carson,Irv Smith Jr.,Jason Myers,Kirk Cousins,Tyler Lockett,49900,101.855
Dalvin Cook,Alexander Mattison,Irv Smith Jr.,Kirk Cousins,Russell Wilson,Tyler Lockett,49500,101.43
Kirk Cousins,Alexander Mattison,Dalvin Cook,Irv Smith Jr.,Russell Wilson,Tyler Lockett,49200,100.91
D.K. Metcalf,Alexander Mattison,Dalvin Cook,Irv Smith Jr.,Russell Wilson,Tyler Lockett,49800,98.645
Greg Olsen,Dalvin Cook,Irv Smith Jr.,Kirk Cousins,Russell Wilson,Tyler Lockett,49100,98.635
Jason Myers,Dalvin Cook,Irv Smith Jr.,Kirk Cousins,Russell Wilson,Tyler Lockett,47900,98.575
Adam Thielen,Alexander Mattison,Dalvin Cook,Irv Smith Jr.,Russell Wilson,Tyler Lockett,49500,98.39
Chris Carson,Dalvin Cook,Greg Olsen,Irv Smith Jr.,Russell Wilson,Tyler Lockett,48700,98.13
